# Time-averaged data for fix aveIp
# TimeStep c_Ip
12660000 0.394881
12670000 0.394771
12680000 0.39419
12690000 0.394192
12700000 0.393803
12710000 0.393703
12720000 0.393686
12730000 0.392983
12740000 0.393301
12750000 0.393325
12760000 0.39303
12770000 0.392313
12780000 0.391767
12790000 0.391733
12800000 0.391139
12810000 0.390683
12820000 0.390458
12830000 0.390409
12840000 0.390461
12850000 0.389439
12860000 0.389106
12870000 0.389047
12880000 0.388603
12890000 0.38815
12900000 0.387934
12910000 0.38763
12920000 0.387259
12930000 0.386857
12940000 0.386795
12950000 0.386206
12960000 0.385495
12970000 0.384753
12980000 0.384879
12990000 0.384478
13000000 0.383867
13010000 0.383559
13020000 0.383341
13030000 0.383113
13040000 0.381894
13050000 0.381284
13060000 0.380934
13070000 0.379875
13080000 0.379419
13090000 0.379102
13100000 0.378655
13110000 0.377993
13120000 0.377353
13130000 0.376943
13140000 0.37656
13150000 0.375282
13160000 0.375209
13170000 0.374715
13180000 0.374087
13190000 0.373198
13200000 0.372146
13210000 0.371339
13220000 0.370728
13230000 0.369964
13240000 0.369373
13250000 0.36828
13260000 0.367738
13270000 0.367066
13280000 0.366409
13290000 0.365589
13300000 0.364446
13310000 0.363981
13320000 0.363481
13330000 0.362554
13340000 0.3617
13350000 0.360964
13360000 0.360349
13370000 0.35961
13380000 0.358282
13390000 0.357916
13400000 0.356574
13410000 0.355431
13420000 0.354795
13430000 0.353558
13440000 0.353024
13450000 0.351512
13460000 0.350819
13470000 0.350073
13480000 0.349028
13490000 0.34767
13500000 0.347105
13510000 0.345211
13520000 0.344405
13530000 0.344008
13540000 0.342748
13550000 0.341498
13560000 0.340085
13570000 0.338827
13580000 0.338048
13590000 0.33747
13600000 0.335763
13610000 0.334874
13620000 0.334215
13630000 0.33307
13640000 0.332448
13650000 0.330834
13660000 0.329533
13670000 0.328776
13680000 0.327428
13690000 0.326242
13700000 0.325126
13710000 0.323515
13720000 0.322902
13730000 0.321081
13740000 0.320325
13750000 0.319277
13760000 0.317028
13770000 0.316416
13780000 0.314993
13790000 0.313605
13800000 0.312016
13810000 0.310688
13820000 0.309027
13830000 0.308019
13840000 0.306654
13850000 0.30501
13860000 0.303545
13870000 0.302762
13880000 0.300831
13890000 0.29929
13900000 0.297871
